,Descripcion,Mililitros,Precio,Descuento,PrecioConDescuento,NombreJumbo,Nombre2,Descripcion2,Mililitros2,Precio2,Descuento2,PrecioConDescuento2,archivo1,archivo2
526,Tequila centenario añejo bot x700ml,x700ml,$ 158.990,,$ 35.992,CENTENARIO,JOSE CUERVO,TEQUILA TRADICIONAL JOSE CUERVO 750 ml,750 ml,$ 132.100,-15 %,$ 112.285,175.0,159.0
527,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,176.0,40.0
528,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,176.0,64.0
529,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,176.0,70.0
530,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,176.0,74.0
531,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 250 Mililitro,250 Mililitro,$ 10.700,-15 %,$ 9.095,176.0,121.0
532,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,176.0,123.0
533,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,176.0,124.0
534,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,176.0,189.0
535,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,NECTAR,Aguardiente media NECTAR 375 Mililitro,375 Mililitro,$ 17.600,-15 %,$ 14.960,176.0,191.0
536,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,NECTAR,Aguardiente club 500ml NECTAR 500 Mililitro,500 Mililitro,$ 21.400,-15 %,$ 18.190,176.0,212.0
537,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,176.0,235.0
538,Aguardiente Nectar club x 2000 ml,ml,$ 77.790,,$ 35.992,NECTAR,NECTAR,Aguardiente botella NECTAR 750 Mililitro,750 Mililitro,$ 33.400,-15 %,$ 28.390,176.0,241.0
539,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,177.0,64.0
540,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,177.0,65.0
541,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados media x 375 ml,375 ml,$ 19.800,0,$ 19.800,177.0,71.0
542,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,177.0,74.0
543,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,177.0,82.0
544,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,177.0,123.0
545,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,177.0,124.0
546,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,ANTIOQUENO,Aguardiente botella ANTIOQUENO 750 ml,750 ml,$ 45.500,0,$ 45.500,177.0,128.0
547,Aguardiente antioqueno sin azucar 24 tetrax260ml,tetrax260ml,$ 11.690,,$ 35.992,ANTIOQUENO,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,177.0,189.0
548,Ron Medellín gran reserva 12 años x 750 cc,cc,$ 87.990,- 10 %,$ 79.191,MEDELLIN,MEDELLIN,Ron medellín añejo 3 años litro x 1000 ml,1000 ml,$ 62.400,0,$ 62.400,178.0,94.0
549,Ron Medellín gran reserva 12 años x 750 cc,cc,$ 87.990,- 10 %,$ 79.191,MEDELLIN,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,178.0,179.0
550,Ron Medellín gran reserva 12 años x 750 cc,cc,$ 87.990,- 10 %,$ 79.191,MEDELLIN,MEDELLIN,Ron Medellín extra añejo 8 años media x 375 ml,375 ml,$ 38.300,0,$ 38.300,178.0,186.0
551,Ron Bacardi Superior botella x750 ml,ml,$ 61.990,- 20 %,$ 49.592,BACARDI,BACARDI,RON ANEJO BACARDI 750 ml,750 ml,$ 47.500,-15 %,$ 40.375,179.0,134.0
552,Ron Bacardi Superior botella x750 ml,ml,$ 61.990,- 20 %,$ 49.592,BACARDI,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,179.0,141.0
553,Ron MEDELLIN 5 años extra añejo sin azúcar x 750ml,750ml,$ 58.590,- 10 %,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín extra añejo 5 años sin azúcar adicionada botella x 750 ml,750 ml,$ 54.900,0,$ 54.900,180.0,101.0
554,Ron MEDELLIN 5 años extra añejo sin azúcar x 750ml,750ml,$ 58.590,- 10 %,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín dorado media x 375 ml,375 ml,$ 23.400,0,$ 23.400,180.0,130.0
555,Ron MEDELLIN 5 años extra añejo sin azúcar x 750ml,750ml,$ 58.590,- 10 %,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,180.0,141.0
556,Ron MEDELLIN 5 años extra añejo sin azúcar x 750ml,750ml,$ 58.590,- 10 %,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín extra añejo 5 años sin azúcar adicionada media x 375 ml,375 ml,$ 28.800,0,$ 28.800,180.0,158.0
557,Ron MEDELLIN 5 años extra añejo sin azúcar x 750ml,750ml,$ 58.590,- 10 %,$ 52.731,MEDELLIN,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,180.0,179.0
558,Ron MEDELLIN 5 años extra añejo sin azúcar x 750ml,750ml,$ 58.590,- 10 %,$ 52.731,MEDELLIN,MEDELLIN,Ron Medellín extra añejo 8 años media x 375 ml,375 ml,$ 38.300,0,$ 38.300,180.0,186.0
559,Ron Medellín Añejo 3 Años 35%Vol X375ml,X375ml,$ 27.990,,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín añejo 3 años litro x 1000 ml,1000 ml,$ 62.400,0,$ 62.400,181.0,94.0
560,Ron Medellín Añejo 3 Años 35%Vol X375ml,X375ml,$ 27.990,,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín extra añejo 5 años sin azúcar adicionada botella x 750 ml,750 ml,$ 54.900,0,$ 54.900,181.0,101.0
561,Ron Medellín Añejo 3 Años 35%Vol X375ml,X375ml,$ 27.990,,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín dorado media x 375 ml,375 ml,$ 23.400,0,$ 23.400,181.0,130.0
562,Ron Medellín Añejo 3 Años 35%Vol X375ml,X375ml,$ 27.990,,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,181.0,141.0
563,Ron Medellín Añejo 3 Años 35%Vol X375ml,X375ml,$ 27.990,,$ 52.731,MEDELLIN,MEDELLIN,Ron medellín extra añejo 5 años sin azúcar adicionada media x 375 ml,375 ml,$ 28.800,0,$ 28.800,181.0,158.0
564,Ron Medellín Añejo 3 Años 35%Vol X375ml,X375ml,$ 27.990,,$ 52.731,MEDELLIN,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,181.0,179.0
565,Ron Medellín Añejo 3 Años 35%Vol X375ml,X375ml,$ 27.990,,$ 52.731,MEDELLIN,MEDELLIN,Ron Medellín extra añejo 8 años media x 375 ml,375 ml,$ 38.300,0,$ 38.300,181.0,186.0
566,Whisky Dewars 12 años botella x750ml,x750ml,$ 128.990,,$ 52.731,DEWARS,OLD PARR,Whisky Old Parr 12 Años x 500 Ml,500 Ml,$ 96.900,-15 %,$ 82.365,182.0,81.0
567,Whisky Dewars 12 años botella x750ml,x750ml,$ 128.990,,$ 52.731,DEWARS,OLD PARR,WHISKY OLD PARR 12 A/OS OLD PARR 1000 ml,1000 ml,$ 178.100,$ 173.000,$ 173.000,182.0,88.0
568,Whisky Dewars 12 años botella x750ml,x750ml,$ 128.990,,$ 52.731,DEWARS,GRAJALES,Crema De Whisky Grajales Botella x 750 ml,750 ml,$ 42.950,-15 %,$ 36.508,182.0,132.0
569,Whisky Dewars 12 años botella x750ml,x750ml,$ 128.990,,$ 52.731,DEWARS,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,182.0,179.0
570,Ron Bacardí Hurracane botella x750ml,x750ml,$ 47.990,- 20 %,$ 38.392,BACARDI,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,184.0,141.0
571,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,185.0,40.0
572,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,185.0,64.0
573,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,185.0,70.0
574,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,185.0,74.0
575,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,185.0,82.0
576,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,185.0,123.0
577,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,185.0,124.0
578,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,185.0,189.0
579,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,NECTAR,Aguardiente club 500ml NECTAR 500 Mililitro,500 Mililitro,$ 21.400,-15 %,$ 18.190,185.0,212.0
580,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,185.0,235.0
581,Aguardiente Nectar en caja x 1000 ml,ml,$ 38.890,- 10 %,$ 35.001,NECTAR,NECTAR,Aguardiente botella NECTAR 750 Mililitro,750 Mililitro,$ 33.400,-15 %,$ 28.390,185.0,241.0
582,Coctel de Whisky Whisleys Botella x 750 Ml,Ml,$ 31.990,,$ 35.001,WHISLEYS,BAILEYS,Crema De Whisky Baileys x 375 Ml,375 Ml,$ 44.250,$ 42.000,$ 42.000,186.0,25.0
583,Coctel de Whisky Whisleys Botella x 750 Ml,Ml,$ 31.990,,$ 35.001,WHISLEYS,BAILEYS,CREMA DE WHISKY BAILEYS 1000 ml,1000 ml,$ 101.200,$ 96.000,$ 96.000,186.0,28.0
584,Coctel de Whisky Whisleys Botella x 750 Ml,Ml,$ 31.990,,$ 35.001,WHISLEYS,GRAJALES,Crema De Whisky Grajales Botella x 750 ml,750 ml,$ 42.950,-15 %,$ 36.508,186.0,132.0
585,Coctel de Whisky Whisleys Botella x 750 Ml,Ml,$ 31.990,,$ 35.001,WHISLEYS,SMIRNOFF,COCTEL ICE BOTELLA SMIRNOFF 275 ml,275 ml,$ 6.375,$ 7.500,$ 7.500,186.0,198.0
586,Coctel de Whisky Whisleys Botella x 750 Ml,Ml,$ 31.990,,$ 35.001,WHISLEYS,COLOMA,Crema De Whisky Coloma x 750ml,x 750ml,$ 46.250,-15 %,$ 39.313,186.0,201.0
587,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,190.0,40.0
588,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 375 Mililitro,375 Mililitro,$ 23.700,0,$ 23.700,190.0,55.0
589,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,190.0,70.0
590,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,190.0,74.0
591,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 375 Mililitro,375 Mililitro,$ 16.000,-15 %,$ 13.600,190.0,77.0
592,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 250 Mililitro,250 Mililitro,$ 10.700,-15 %,$ 9.095,190.0,121.0
593,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,190.0,123.0
594,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,ANTIOQUENO,Aguardiente botella ANTIOQUENO 750 ml,750 ml,$ 45.500,0,$ 45.500,190.0,128.0
595,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 750 Mililitro,750 Mililitro,$ 32.600,-15 %,$ 27.710,190.0,160.0
596,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,190.0,189.0
597,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,NECTAR,Aguardiente media NECTAR 375 Mililitro,375 Mililitro,$ 17.600,-15 %,$ 14.960,190.0,191.0
598,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,NECTAR,Aguardiente club 500ml NECTAR 500 Mililitro,500 Mililitro,$ 21.400,-15 %,$ 18.190,190.0,212.0
599,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,190.0,235.0
600,Aguardiente Nectar x 375ml,375ml,$ 16.590,- 10 %,$ 14.931,NECTAR,NECTAR,Aguardiente botella NECTAR 750 Mililitro,750 Mililitro,$ 33.400,-15 %,$ 28.390,190.0,241.0
601,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,194.0,65.0
602,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,194.0,74.0
603,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,194.0,123.0
604,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,ANTIOQUENO,Aguardiente botella ANTIOQUENO 750 ml,750 ml,$ 45.500,0,$ 45.500,194.0,128.0
605,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,GINEBRAS,Ginebra Greenalls botella x 750 ml,750 ml,$ 74.700,-15 %,$ 63.495,194.0,163.0
606,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,194.0,189.0
607,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,194.0,235.0
608,Aguardiente Nectar Premium botella x750ml,x750ml,$ 57.990,,$ 38.392,JAGERMEISTER,NECTAR,Aguardiente botella NECTAR 750 Mililitro,750 Mililitro,$ 33.400,-15 %,$ 28.390,194.0,241.0
609,Ron Medellín añejo x 750ml,750ml,$ 48.990,,$ 38.392,MEDELLIN,MEDELLIN,Ron medellín añejo 3 años litro x 1000 ml,1000 ml,$ 62.400,0,$ 62.400,195.0,94.0
610,Ron Medellín añejo x 750ml,750ml,$ 48.990,,$ 38.392,MEDELLIN,MEDELLIN,Ron medellín dorado media x 375 ml,375 ml,$ 23.400,0,$ 23.400,195.0,130.0
611,Ron Medellín añejo x 750ml,750ml,$ 48.990,,$ 38.392,MEDELLIN,BACARDI,RON ANEJO BACARDI 750 ml,750 ml,$ 47.500,-15 %,$ 40.375,195.0,134.0
612,Ron Medellín añejo x 750ml,750ml,$ 48.990,,$ 38.392,MEDELLIN,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,195.0,141.0
613,Ron Medellín añejo x 750ml,750ml,$ 48.990,,$ 38.392,MEDELLIN,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,195.0,179.0
614,Ron Medellín añejo x 750ml,750ml,$ 48.990,,$ 38.392,MEDELLIN,MEDELLIN,Ron Medellín extra añejo 8 años media x 375 ml,375 ml,$ 38.300,0,$ 38.300,195.0,186.0
615,Ron Medellin añejo tetra x 260 ml,ml,$ 14.690,0,$ 14.690,MEDELLIN,MEDELLIN,Ron medellín añejo 3 años litro x 1000 ml,1000 ml,$ 62.400,0,$ 62.400,196.0,94.0
616,Ron Medellin añejo tetra x 260 ml,ml,$ 14.690,0,$ 14.690,MEDELLIN,MEDELLIN,Ron medellín dorado media x 375 ml,375 ml,$ 23.400,0,$ 23.400,196.0,130.0
617,Ron Medellin añejo tetra x 260 ml,ml,$ 14.690,0,$ 14.690,MEDELLIN,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,196.0,141.0
618,Ron Medellin añejo tetra x 260 ml,ml,$ 14.690,0,$ 14.690,MEDELLIN,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,196.0,179.0
619,Ron Medellin añejo tetra x 260 ml,ml,$ 14.690,0,$ 14.690,MEDELLIN,MEDELLIN,Ron Medellín extra añejo 8 años media x 375 ml,375 ml,$ 38.300,0,$ 38.300,196.0,186.0
620,Ron barcelo dominicano gran anejo botella x750ml,x750ml,$ 95.990,,$ 14.690,BARCELO,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,197.0,141.0
621,Ron barcelo dominicano gran anejo botella x750ml,x750ml,$ 95.990,,$ 14.690,BARCELO,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,197.0,179.0
622,Ron barcelo dominicano gran anejo botella x750ml,x750ml,$ 95.990,,$ 14.690,BARCELO,BARCELO,Ron Dominicano Barcelo Imperial Botella x 700ml,x 700ml,$ 149.900,-15 %,$ 127.415,197.0,215.0
623,Aguardiente chorrito ardiente sin azucar x1000ml,x1000ml,$ 23.490,,$ 14.690,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,198.0,64.0
624,Aguardiente chorrito ardiente sin azucar x1000ml,x1000ml,$ 23.490,,$ 14.690,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,198.0,82.0
625,Aguardiente chorrito ardiente sin azucar x1000ml,x1000ml,$ 23.490,,$ 14.690,CHORRITO,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,198.0,123.0
626,Aguardiente chorrito ardiente sin azucar x1000ml,x1000ml,$ 23.490,,$ 14.690,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,198.0,124.0
627,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,199.0,40.0
628,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,199.0,64.0
629,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,199.0,70.0
630,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,199.0,74.0
631,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,199.0,82.0
632,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,199.0,123.0
633,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,199.0,124.0
634,Aguardiente Nectar sin azúcar x1000ml,x1000ml,$ 39.090,,$ 14.690,NECTAR,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,199.0,189.0
635,Ron Medellín botella x 1000 ml,ml,$ 50.090,,$ 14.690,MEDELLIN,MEDELLIN,Ron medellín añejo 3 años litro x 1000 ml,1000 ml,$ 62.400,0,$ 62.400,200.0,94.0
636,Ron Medellín botella x 1000 ml,ml,$ 50.090,,$ 14.690,MEDELLIN,MEDELLIN,Ron medellín dorado media x 375 ml,375 ml,$ 23.400,0,$ 23.400,200.0,130.0
637,Ron Medellín botella x 1000 ml,ml,$ 50.090,,$ 14.690,MEDELLIN,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,200.0,141.0
638,Ron Medellín botella x 1000 ml,ml,$ 50.090,,$ 14.690,MEDELLIN,GINEBRAS,Ginebra Greenalls botella x 750 ml,750 ml,$ 74.700,-15 %,$ 63.495,200.0,163.0
639,Ron Medellín botella x 1000 ml,ml,$ 50.090,,$ 14.690,MEDELLIN,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,200.0,179.0
640,Tequila Olmeca plata x700ml,x700ml,$ 182.990,,$ 14.690,OLMECA,JIMADOR,Tequila Jimador Reposado x 750 ml,750 ml,$ 104.200,-15 %,$ 88.570,201.0,92.0
641,Tequila Olmeca plata x700ml,x700ml,$ 182.990,,$ 14.690,OLMECA,PATRON,Tequila Silver PATRON 700 ml,700 ml,$ 212.000,-15 %,$ 180.200,201.0,106.0
642,Tequila Olmeca plata x700ml,x700ml,$ 182.990,,$ 14.690,OLMECA,OLMECA,Tequila Olmeca Reposado OLMECA 350 ml,350 ml,$ 38.800,-15 %,$ 32.980,201.0,142.0
643,Aguardiente Nectar x 250 ml tetrabik,tetrabik,$ 10.190,- 10 %,$ 9.171,NECTAR,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,202.0,74.0
644,Aguardiente Nectar x 250 ml tetrabik,tetrabik,$ 10.190,- 10 %,$ 9.171,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 375 Mililitro,375 Mililitro,$ 16.000,-15 %,$ 13.600,202.0,77.0
645,Aguardiente Nectar x 250 ml tetrabik,tetrabik,$ 10.190,- 10 %,$ 9.171,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 250 Mililitro,250 Mililitro,$ 10.700,-15 %,$ 9.095,202.0,121.0
